Date,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2001-10-18,18292.0,16348.2,1943.8,53.41,10.63
2001-10-19,18292.0,16348.2,1943.8,53.41,10.63
2001-10-20,18292.0,16348.2,1943.8,53.41,10.63
2001-10-21,18292.0,16348.2,1943.8,53.41,10.63
2001-10-22,18292.0,16348.2,1943.8,53.41,10.63
2001-10-23,18292.0,16348.2,1943.8,53.41,10.63
2001-10-24,18292.0,16348.2,1943.8,53.41,10.63
2001-10-25,18292.0,16348.2,1943.8,53.41,10.63
2001-10-26,18292.0,16348.2,1943.8,53.41,10.63
2001-10-27,18292.0,16348.2,1943.8,53.41,10.63
2001-10-28,18292.0,16348.2,1943.8,53.41,10.63
2001-10-29,18292.0,16348.2,1943.8,53.41,10.63
2001-10-30,18292.0,16348.2,1943.8,53.41,10.63
2001-10-31,18292.0,16348.2,1943.8,53.41,10.63
2001-11-01,18292.0,16348.2,1943.8,53.41,10.63
2001-11-02,18292.0,16348.2,1943.8,53.41,10.63
2001-11-03,18292.0,16348.2,1943.8,53.41,10.63
2001-11-04,18292.0,16348.2,1943.8,53.41,10.63
2001-11-05,18292.0,16348.2,1943.8,53.41,10.63
2001-11-06,18292.0,16348.2,1943.8,53.41,10.63
2001-11-07,18292.0,16348.2,1943.8,53.41,10.63
2001-11-08,18292.0,16348.2,1943.8,53.41,10.63
2001-11-09,18292.0,16348.2,1943.8,53.41,10.63
2001-11-10,18292.0,16348.2,1943.8,53.41,10.63
2001-11-11,18292.0,16348.2,1943.8,53.41,10.63
2001-11-12,18292.0,16348.2,1943.8,53.41,10.63
2001-11-13,18292.0,16348.2,1943.8,53.41,10.63
2001-11-14,18292.0,16348.2,1943.8,53.41,10.63
2001-11-15,18292.0,16348.2,1943.8,53.41,10.63
2001-11-16,18292.0,16348.2,1943.8,53.41,10.63
2001-11-17,18292.0,16348.2,1943.8,53.41,10.63
2001-11-18,18292.0,16348.2,1943.8,53.41,10.63
2001-11-19,18292.0,16348.2,1943.8,53.41,10.63
2001-11-20,18292.0,16348.2,1943.8,53.41,10.63
2001-11-21,18292.0,16348.2,1943.8,53.41,10.63
2001-11-22,18292.0,16348.2,1943.8,53.41,10.63
2001-11-23,18292.0,16348.2,1943.8,53.41,10.63
2001-11-24,18292.0,16348.2,1943.8,53.41,10.63
2001-11-25,18292.0,16348.2,1943.8,53.41,10.63
2001-11-26,18292.0,16348.2,1943.8,53.41,10.63
2001-11-27,18292.0,16348.2,1943.8,53.41,10.63
2001-11-28,18292.0,16348.2,1943.8,53.41,10.63
2001-11-29,18292.0,16348.2,1943.8,53.41,10.63
2001-11-30,18292.0,16348.2,1943.8,53.41,10.63
2001-12-01,18292.0,16348.2,1943.8,53.41,10.63
2001-12-02,18292.0,16348.2,1943.8,53.41,10.63
2001-12-03,18292.0,16348.2,1943.8,53.41,10.63
2001-12-04,18292.0,16348.2,1943.8,53.41,10.63
2001-12-05,18292.0,16348.2,1943.8,53.41,10.63
2001-12-06,18292.0,16348.2,1943.8,53.41,10.63
2001-12-07,18292.0,16348.2,1943.8,53.41,10.63
2001-12-08,18292.0,16348.2,1943.8,53.41,10.63
2001-12-09,18292.0,16348.2,1943.8,53.41,10.63
2001-12-10,18292.0,16348.2,1943.8,53.41,10.63
2001-12-11,18292.0,16348.2,1943.8,53.41,10.63
2001-12-12,18292.0,16348.2,1943.8,53.41,10.63
2001-12-13,18292.0,16348.2,1943.8,53.41,10.63
2001-12-14,18292.0,16348.2,1943.8,53.41,10.63
2001-12-15,18292.0,16348.2,1943.8,53.41,10.63
2001-12-16,18292.0,16348.2,1943.8,53.41,10.63
2001-12-17,18292.0,16348.2,1943.8,53.41,10.63
2001-12-18,18292.0,16348.2,1943.8,53.41,10.63
2001-12-19,18292.0,16348.2,1943.8,53.41,10.63
2001-12-20,18292.0,16348.2,1943.8,53.41,10.63
2001-12-21,18292.0,16348.2,1943.8,53.41,10.63
2001-12-22,18292.0,16348.2,1943.8,53.41,10.63
2001-12-23,18292.0,16348.2,1943.8,53.41,10.63
2001-12-24,18292.0,16348.2,1943.8,53.41,10.63
2001-12-25,18292.0,16348.2,1943.8,53.41,10.63
2001-12-26,18292.0,16348.2,1943.8,53.41,10.63
2001-12-27,18292.0,16348.2,1943.8,53.41,10.63
2001-12-28,18292.0,16348.2,1943.8,53.41,10.63
2001-12-29,18292.0,16348.2,1943.8,53.41,10.63
2001-12-30,18292.0,16348.2,1943.8,53.41,10.63
2001-12-31,18292.0,16348.2,1943.8,53.41,10.63
2002-01-01,18635.1,16482.3,2152.8,54.06,11.55
2002-01-02,18635.1,16482.3,2152.8,54.06,11.55
2002-01-03,18635.1,16482.3,2152.8,54.06,11.55
2002-01-04,18635.1,16482.3,2152.8,54.06,11.55
2002-01-05,18635.1,16482.3,2152.8,54.06,11.55
2002-01-06,18635.1,16482.3,2152.8,54.06,11.55
2002-01-07,18635.1,16482.3,2152.8,54.06,11.55
2002-01-08,18635.1,16482.3,2152.8,54.06,11.55
2002-01-09,18635.1,16482.3,2152.8,54.06,11.55
2002-01-10,18635.1,16482.3,2152.8,54.06,11.55
2002-01-11,18635.1,16482.3,2152.8,54.06,11.55
2002-01-12,18635.1,16482.3,2152.8,54.06,11.55
2002-01-13,18635.1,16482.3,2152.8,54.06,11.55
2002-01-14,18635.1,16482.3,2152.8,54.06,11.55
2002-01-15,18635.1,16482.3,2152.8,54.06,11.55
2002-01-16,18635.1,16482.3,2152.8,54.06,11.55
2002-01-17,18635.1,16482.3,2152.8,54.06,11.55
2002-01-18,18635.1,16482.3,2152.8,54.06,11.55
2002-01-19,18635.1,16482.3,2152.8,54.06,11.55
2002-01-20,18635.1,16482.3,2152.8,54.06,11.55
2002-01-21,18635.1,16482.3,2152.8,54.06,11.55
2002-01-22,18635.1,16482.3,2152.8,54.06,11.55
2002-01-23,18635.1,16482.3,2152.8,54.06,11.55
2002-01-24,18635.1,16482.3,2152.8,54.06,11.55
2002-01-25,18635.1,16482.3,2152.8,54.06,11.55
2002-01-26,18635.1,16482.3,2152.8,54.06,11.55
2002-01-27,18635.1,16482.3,2152.8,54.06,11.55
2002-01-28,18635.1,16482.3,2152.8,54.06,11.55
2002-01-29,18635.1,16482.3,2152.8,54.06,11.55
2002-01-30,18635.1,16482.3,2152.8,54.06,11.55
2002-01-31,18635.1,16482.3,2152.8,54.06,11.55
2002-02-01,18635.1,16482.3,2152.8,54.06,11.55
2002-02-02,18635.1,16482.3,2152.8,54.06,11.55
2002-02-03,18635.1,16482.3,2152.8,54.06,11.55
2002-02-04,18635.1,16482.3,2152.8,54.06,11.55
2002-02-05,18635.1,16482.3,2152.8,54.06,11.55
2002-02-06,18635.1,16482.3,2152.8,54.06,11.55
2002-02-07,18635.1,16482.3,2152.8,54.06,11.55
2002-02-08,18635.1,16482.3,2152.8,54.06,11.55
2002-02-09,18635.1,16482.3,2152.8,54.06,11.55
2002-02-10,18635.1,16482.3,2152.8,54.06,11.55
2002-02-11,18635.1,16482.3,2152.8,54.06,11.55
2002-02-12,18635.1,16482.3,2152.8,54.06,11.55
2002-02-13,18635.1,16482.3,2152.8,54.06,11.55
2002-02-14,18635.1,16482.3,2152.8,54.06,11.55
2002-02-15,18635.1,16482.3,2152.8,54.06,11.55
2002-02-16,18635.1,16482.3,2152.8,54.06,11.55
2002-02-17,18635.1,16482.3,2152.8,54.06,11.55
2002-02-18,18635.1,16482.3,2152.8,54.06,11.55
2002-02-19,18635.1,16482.3,2152.8,54.06,11.55
2002-02-20,18635.1,16482.3,2152.8,54.06,11.55
2002-02-21,18635.1,16482.3,2152.8,54.06,11.55
2002-02-22,18635.1,16482.3,2152.8,54.06,11.55
2002-02-23,18635.1,16482.3,2152.8,54.06,11.55
2002-02-24,18635.1,16482.3,2152.8,54.06,11.55
2002-02-25,18635.1,16482.3,2152.8,54.06,11.55
2002-02-26,18635.1,16482.3,2152.8,54.06,11.55
2002-02-27,18635.1,16482.3,2152.8,54.06,11.55
2002-02-28,18635.1,16482.3,2152.8,54.06,11.55
2002-03-01,18635.1,16482.3,2152.8,54.06,11.55
2002-03-02,18635.1,16482.3,2152.8,54.06,11.55
2002-03-03,18635.1,16482.3,2152.8,54.06,11.55
2002-03-04,18635.1,16482.3,2152.8,54.06,11.55
2002-03-05,18635.1,16482.3,2152.8,54.06,11.55
2002-03-06,18635.1,16482.3,2152.8,54.06,11.55
2002-03-07,18635.1,16482.3,2152.8,54.06,11.55
2002-03-08,18635.1,16482.3,2152.8,54.06,11.55
2002-03-09,18635.1,16482.3,2152.8,54.06,11.55
2002-03-10,18635.1,16482.3,2152.8,54.06,11.55
2002-03-11,18635.1,16482.3,2152.8,54.06,11.55
2002-03-12,18635.1,16482.3,2152.8,54.06,11.55
2002-03-13,18635.1,16482.3,2152.8,54.06,11.55
2002-03-14,18635.1,16482.3,2152.8,54.06,11.55
2002-03-15,18635.1,16482.3,2152.8,54.06,11.55
2002-03-16,18635.1,16482.3,2152.8,54.06,11.55
2002-03-17,18635.1,16482.3,2152.8,54.06,11.55
2002-03-18,18635.1,16482.3,2152.8,54.06,11.55
2002-03-19,18635.1,16482.3,2152.8,54.06,11.55
2002-03-20,18635.1,16482.3,2152.8,54.06,11.55
2002-03-21,18635.1,16482.3,2152.8,54.06,11.55
2002-03-22,18635.1,16482.3,2152.8,54.06,11.55
2002-03-23,18635.1,16482.3,2152.8,54.06,11.55
2002-03-24,18635.1,16482.3,2152.8,54.06,11.55
2002-03-25,18635.1,16482.3,2152.8,54.06,11.55
2002-03-26,18635.1,16482.3,2152.8,54.06,11.55
2002-03-27,18635.1,16482.3,2152.8,54.06,11.55
