Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt,Debt_per_capita,Defunciones,Euribor,GDP_Value,High_DJ,High_EURO,High_y,IPC,Low_DJ,Low_EURO,Low_y,Ocupados,Open_DJ,Open_EURO,Open_y,Parados,Paro(%),Percentage,Price_EURO
2008-11-03,60.35,23262.1,9231.790039,1420.0,9231.799805,9319.83,406604.0,8842.0,7.054,4.3504,-1.6272,9488.92,1.29,9231.799805,-0.4,9175.03,1.2596,8977.400391,20055.3,9338.07,1.275,9185.799805,3206.8,13.79,36.66,1.2643
2008-11-04,60.35,23262.1,9726.790039,1420.0,9726.799805,9625.28,406604.0,8842.0,7.054,4.3504,-1.6272,9711.46,1.3038,9726.799805,-0.4,9377.42,1.2527,9242.0,20055.3,9521.26,1.2631,9279.299805,3206.8,13.79,36.66,1.3034
2008-11-05,60.35,23262.1,9744.69043,1420.0,9744.700195,9139.27,406604.0,8842.0,7.054,4.3504,-1.6272,9628.15,1.3118,9883.799805,-0.4,9086.06,1.2792,9507.700195,20055.3,9512.26,1.298,9631.299805,3206.8,13.79,36.66,1.2952
2008-11-06,60.35,23262.1,9133.891602,1420.0,9133.900391,8695.79,406604.0,8842.0,7.054,4.3504,-1.6272,9216.37,1.2967,9577.700195,-0.4,8607.14,1.2702,9111.0,20055.3,9069.1,1.2961,9362.0,3206.8,13.79,36.66,1.2702
2008-11-07,60.35,23262.1,9343.490234,1420.0,9343.5,8943.81,406604.0,8842.0,7.054,4.3504,-1.6272,9032.24,1.2853,9392.299805,-0.4,8661.22,1.2654,9013.700195,20055.3,8795.59,1.2718,9153.099609,3206.8,13.79,36.66,1.2739
2008-11-10,60.35,23262.1,9293.790039,1420.0,9293.799805,8870.54,406604.0,8842.0,7.529,4.3504,-1.6272,9212.94,1.293,9525.799805,-0.4,8735.61,1.2719,9268.200195,20055.3,9114.26,1.2821,9484.299805,3206.8,13.79,36.66,1.2733
2008-11-11,60.35,23262.1,8911.891602,1420.0,8911.900391,8693.96,406604.0,8842.0,7.529,4.3504,-1.6272,8867.91,1.2801,9171.400391,-0.4,8560.71,1.2506,8906.5,20055.3,8864.32,1.2755,9123.299805,3206.8,13.79,36.66,1.2519
2008-11-12,60.35,23262.1,8646.791016,1420.0,8646.799805,8282.66,406604.0,8842.0,7.529,4.3504,-1.6272,8638.6,1.2636,9083.099609,-0.4,8235.66,1.247,8604.599609,20055.3,8511.17,1.253,9070.099609,3206.8,13.79,36.66,1.2472
2008-11-13,60.35,23262.1,8740.59082,1420.0,8740.599609,8835.25,406604.0,8842.0,7.529,4.3504,-1.6272,8898.41,1.2855,8823.299805,-0.4,7947.74,1.2389,8525.900391,20055.3,8321.21,1.2505,8684.5,3206.8,13.79,36.66,1.283
2008-11-14,60.35,23262.1,8832.191406,1420.0,8832.200195,8497.31,406604.0,8842.0,7.529,4.3504,-1.6272,8980.93,1.283,9069.200195,-0.4,8421.08,1.2617,8796.700195,20055.3,8671.98,1.2787,9068.0,3206.8,13.79,36.66,1.2634
2008-11-17,60.35,23262.1,8498.791016,1420.0,8498.799805,8273.58,406604.0,8842.0,7.403,4.3504,-1.6272,8596.31,1.2742,8827.200195,-0.4,8197.12,1.2513,8416.5,20055.3,8401.73,1.2534,8788.599609,3206.8,13.79,36.66,1.2647
2008-11-18,60.35,23262.1,8530.791016,1420.0,8530.799805,8424.75,406604.0,8842.0,7.403,4.3504,-1.6272,8540.08,1.27,8532.700195,-0.4,8075.81,1.2567,8268.599609,20055.3,8265.69,1.2649,8480.799805,3206.8,13.79,36.66,1.2622
2008-11-19,60.35,23262.1,8211.491211,1420.0,8211.5,7997.28,406604.0,8842.0,7.403,4.3504,-1.6272,8534.34,1.2814,8536.0,-0.4,7967.33,1.2517,8211.5,20055.3,8412.24,1.2616,8532.099609,3206.8,13.79,36.66,1.2523
2008-11-20,60.35,23262.1,7988.391602,1420.0,7988.399902,7552.29,406604.0,8842.0,7.403,4.3504,-1.6272,8224.35,1.2595,8072.799805,-0.4,7464.51,1.2456,7830.899902,20055.3,7898.04,1.2502,7995.899902,3206.8,13.79,36.66,1.2458
2008-11-21,60.35,23262.1,7974.391602,1420.0,7974.399902,8046.42,406604.0,8842.0,7.403,4.3504,-1.6272,8121.45,1.2643,8240.5,-0.4,7392.27,1.2425,7862.399902,20055.3,7632.89,1.2447,8062.899902,3206.8,13.79,36.66,1.2581
2008-11-24,60.35,23262.1,8622.59082,1420.0,8622.599609,8443.39,406604.0,8842.0,7.527,4.3504,-1.6272,8624.27,1.293,8622.599609,-0.4,8023.32,1.2568,8093.200195,20055.3,8196.4,1.2592,8173.700195,3206.8,13.79,36.66,1.2914
2008-11-25,60.35,23262.1,8696.59082,1420.0,8696.599609,8479.47,406604.0,8842.0,7.527,4.3504,-1.6272,8682.09,1.3081,8861.799805,-0.4,8244.43,1.2805,8453.5,20055.3,8571.3,1.2929,8533.900391,3206.8,13.79,36.66,1.3058
2008-11-26,60.35,23262.1,8654.09082,1420.0,8654.099609,8726.61,406604.0,8842.0,7.527,4.3504,-1.6272,8760.46,1.3073,8719.799805,-0.4,8250.8,1.2821,8461.0,20055.3,8310.61,1.3064,8586.0,3206.8,13.79,36.66,1.2893
