Date,Total_debt,Debt_GDP_percentage,Debt_per_capita
1994-11-24,249508.0,58.68,6294.0
1994-11-25,249508.0,58.68,6294.0
1994-11-26,249508.0,58.68,6294.0
1994-11-27,249508.0,58.68,6294.0
1994-11-28,249508.0,58.68,6294.0
1994-11-29,249508.0,58.68,6294.0
1994-11-30,249508.0,58.68,6294.0
1994-12-01,249508.0,58.68,6294.0
1994-12-02,249508.0,58.68,6294.0
1994-12-03,249508.0,58.68,6294.0
1994-12-04,249508.0,58.68,6294.0
1994-12-05,249508.0,58.68,6294.0
1994-12-06,249508.0,58.68,6294.0
1994-12-07,249508.0,58.68,6294.0
1994-12-08,249508.0,58.68,6294.0
1994-12-09,249508.0,58.68,6294.0
1994-12-10,249508.0,58.68,6294.0
1994-12-11,249508.0,58.68,6294.0
1994-12-12,249508.0,58.68,6294.0
1994-12-13,249508.0,58.68,6294.0
1994-12-14,249508.0,58.68,6294.0
1994-12-15,249508.0,58.68,6294.0
1994-12-16,249508.0,58.68,6294.0
1994-12-17,249508.0,58.68,6294.0
1994-12-18,249508.0,58.68,6294.0
1994-12-19,249508.0,58.68,6294.0
1994-12-20,249508.0,58.68,6294.0
1994-12-21,249508.0,58.68,6294.0
1994-12-22,249508.0,58.68,6294.0
1994-12-23,249508.0,58.68,6294.0
1994-12-24,249508.0,58.68,6294.0
1994-12-25,249508.0,58.68,6294.0
1994-12-26,249508.0,58.68,6294.0
1994-12-27,249508.0,58.68,6294.0
1994-12-28,249508.0,58.68,6294.0
1994-12-29,249508.0,58.68,6294.0
1994-12-30,249508.0,58.68,6294.0
1994-12-31,249508.0,58.68,6294.0
1995-01-01,283457.0,61.5,7121.0
1995-01-02,283457.0,61.5,7121.0
1995-01-03,283457.0,61.5,7121.0
1995-01-04,283457.0,61.5,7121.0
1995-01-05,283457.0,61.5,7121.0
1995-01-06,283457.0,61.5,7121.0
1995-01-07,283457.0,61.5,7121.0
1995-01-08,283457.0,61.5,7121.0
1995-01-09,283457.0,61.5,7121.0
1995-01-10,283457.0,61.5,7121.0
1995-01-11,283457.0,61.5,7121.0
1995-01-12,283457.0,61.5,7121.0
1995-01-13,283457.0,61.5,7121.0
1995-01-14,283457.0,61.5,7121.0
1995-01-15,283457.0,61.5,7121.0
1995-01-16,283457.0,61.5,7121.0
1995-01-17,283457.0,61.5,7121.0
1995-01-18,283457.0,61.5,7121.0
1995-01-19,283457.0,61.5,7121.0
1995-01-20,283457.0,61.5,7121.0
1995-01-21,283457.0,61.5,7121.0
1995-01-22,283457.0,61.5,7121.0
1995-01-23,283457.0,61.5,7121.0
1995-01-24,283457.0,61.5,7121.0
1995-01-25,283457.0,61.5,7121.0
1995-01-26,283457.0,61.5,7121.0
1995-01-27,283457.0,61.5,7121.0
1995-01-28,283457.0,61.5,7121.0
1995-01-29,283457.0,61.5,7121.0
1995-01-30,283457.0,61.5,7121.0
1995-01-31,283457.0,61.5,7121.0
1995-02-01,283457.0,61.5,7121.0
1995-02-02,283457.0,61.5,7121.0
1995-02-03,283457.0,61.5,7121.0
1995-02-04,283457.0,61.5,7121.0
1995-02-05,283457.0,61.5,7121.0
1995-02-06,283457.0,61.5,7121.0
1995-02-07,283457.0,61.5,7121.0
1995-02-08,283457.0,61.5,7121.0
1995-02-09,283457.0,61.5,7121.0
1995-02-10,283457.0,61.5,7121.0
1995-02-11,283457.0,61.5,7121.0
1995-02-12,283457.0,61.5,7121.0
1995-02-13,283457.0,61.5,7121.0
1995-02-14,283457.0,61.5,7121.0
1995-02-15,283457.0,61.5,7121.0
1995-02-16,283457.0,61.5,7121.0
1995-02-17,283457.0,61.5,7121.0
1995-02-18,283457.0,61.5,7121.0
1995-02-19,283457.0,61.5,7121.0
1995-02-20,283457.0,61.5,7121.0
1995-02-21,283457.0,61.5,7121.0
1995-02-22,283457.0,61.5,7121.0
1995-02-23,283457.0,61.5,7121.0
1995-02-24,283457.0,61.5,7121.0
1995-02-25,283457.0,61.5,7121.0
1995-02-26,283457.0,61.5,7121.0
1995-02-27,283457.0,61.5,7121.0
1995-02-28,283457.0,61.5,7121.0
1995-03-01,283457.0,61.5,7121.0
1995-03-02,283457.0,61.5,7121.0
1995-03-03,283457.0,61.5,7121.0
1995-03-04,283457.0,61.5,7121.0
1995-03-05,283457.0,61.5,7121.0
1995-03-06,283457.0,61.5,7121.0
1995-03-07,283457.0,61.5,7121.0
1995-03-08,283457.0,61.5,7121.0
1995-03-09,283457.0,61.5,7121.0
1995-03-10,283457.0,61.5,7121.0
1995-03-11,283457.0,61.5,7121.0
1995-03-12,283457.0,61.5,7121.0
1995-03-13,283457.0,61.5,7121.0
1995-03-14,283457.0,61.5,7121.0
1995-03-15,283457.0,61.5,7121.0
1995-03-16,283457.0,61.5,7121.0
1995-03-17,283457.0,61.5,7121.0
1995-03-18,283457.0,61.5,7121.0
1995-03-19,283457.0,61.5,7121.0
1995-03-20,283457.0,61.5,7121.0
1995-03-21,283457.0,61.5,7121.0
1995-03-22,283457.0,61.5,7121.0
1995-03-23,283457.0,61.5,7121.0
1995-03-24,283457.0,61.5,7121.0
1995-03-25,283457.0,61.5,7121.0
1995-03-26,283457.0,61.5,7121.0
1995-03-27,283457.0,61.5,7121.0
1995-03-28,283457.0,61.5,7121.0
1995-03-29,283457.0,61.5,7121.0
1995-03-30,283457.0,61.5,7121.0
1995-03-31,283457.0,61.5,7121.0
1995-04-01,283457.0,61.5,7121.0
1995-04-02,283457.0,61.5,7121.0
1995-04-03,283457.0,61.5,7121.0
1995-04-04,283457.0,61.5,7121.0
1995-04-05,283457.0,61.5,7121.0
1995-04-06,283457.0,61.5,7121.0
1995-04-07,283457.0,61.5,7121.0
1995-04-08,283457.0,61.5,7121.0
1995-04-09,283457.0,61.5,7121.0
1995-04-10,283457.0,61.5,7121.0
1995-04-11,283457.0,61.5,7121.0
1995-04-12,283457.0,61.5,7121.0
1995-04-13,283457.0,61.5,7121.0
1995-04-14,283457.0,61.5,7121.0
1995-04-15,283457.0,61.5,7121.0
1995-04-16,283457.0,61.5,7121.0
1995-04-17,283457.0,61.5,7121.0
1995-04-18,283457.0,61.5,7121.0
1995-04-19,283457.0,61.5,7121.0
1995-04-20,283457.0,61.5,7121.0
1995-04-21,283457.0,61.5,7121.0
1995-04-22,283457.0,61.5,7121.0
1995-04-23,283457.0,61.5,7121.0
1995-04-24,283457.0,61.5,7121.0
1995-04-25,283457.0,61.5,7121.0
1995-04-26,283457.0,61.5,7121.0
1995-04-27,283457.0,61.5,7121.0
1995-04-28,283457.0,61.5,7121.0
1995-04-29,283457.0,61.5,7121.0
1995-04-30,283457.0,61.5,7121.0
1995-05-01,283457.0,61.5,7121.0
1995-05-02,283457.0,61.5,7121.0
1995-05-03,283457.0,61.5,7121.0
1995-05-04,283457.0,61.5,7121.0
1995-05-05,283457.0,61.5,7121.0
1995-05-06,283457.0,61.5,7121.0
1995-05-07,283457.0,61.5,7121.0
1995-05-08,283457.0,61.5,7121.0
1995-05-09,283457.0,61.5,7121.0
1995-05-10,283457.0,61.5,7121.0
1995-05-11,283457.0,61.5,7121.0
1995-05-12,283457.0,61.5,7121.0
1995-05-13,283457.0,61.5,7121.0
1995-05-14,283457.0,61.5,7121.0
1995-05-15,283457.0,61.5,7121.0
1995-05-16,283457.0,61.5,7121.0
1995-05-17,283457.0,61.5,7121.0
1995-05-18,283457.0,61.5,7121.0
1995-05-19,283457.0,61.5,7121.0
1995-05-20,283457.0,61.5,7121.0
1995-05-21,283457.0,61.5,7121.0
1995-05-22,283457.0,61.5,7121.0
1995-05-23,283457.0,61.5,7121.0
1995-05-24,283457.0,61.5,7121.0
1995-05-25,283457.0,61.5,7121.0
1995-05-26,283457.0,61.5,7121.0
1995-05-27,283457.0,61.5,7121.0
1995-05-28,283457.0,61.5,7121.0
1995-05-29,283457.0,61.5,7121.0
1995-05-30,283457.0,61.5,7121.0
1995-05-31,283457.0,61.5,7121.0
1995-06-01,283457.0,61.5,7121.0
1995-06-02,283457.0,61.5,7121.0
1995-06-03,283457.0,61.5,7121.0
1995-06-04,283457.0,61.5,7121.0
1995-06-05,283457.0,61.5,7121.0
1995-06-06,283457.0,61.5,7121.0
1995-06-07,283457.0,61.5,7121.0
1995-06-08,283457.0,61.5,7121.0
1995-06-09,283457.0,61.5,7121.0
1995-06-10,283457.0,61.5,7121.0
1995-06-11,283457.0,61.5,7121.0
1995-06-12,283457.0,61.5,7121.0
1995-06-13,283457.0,61.5,7121.0
1995-06-14,283457.0,61.5,7121.0
1995-06-15,283457.0,61.5,7121.0
1995-06-16,283457.0,61.5,7121.0
1995-06-17,283457.0,61.5,7121.0
1995-06-18,283457.0,61.5,7121.0
1995-06-19,283457.0,61.5,7121.0
1995-06-20,283457.0,61.5,7121.0
1995-06-21,283457.0,61.5,7121.0
1995-06-22,283457.0,61.5,7121.0
1995-06-23,283457.0,61.5,7121.0
1995-06-24,283457.0,61.5,7121.0
1995-06-25,283457.0,61.5,7121.0
1995-06-26,283457.0,61.5,7121.0
1995-06-27,283457.0,61.5,7121.0
1995-06-28,283457.0,61.5,7121.0
1995-06-29,283457.0,61.5,7121.0
1995-06-30,283457.0,61.5,7121.0
1995-07-01,283457.0,61.5,7121.0
1995-07-02,283457.0,61.5,7121.0
1995-07-03,283457.0,61.5,7121.0
1995-07-04,283457.0,61.5,7121.0
1995-07-05,283457.0,61.5,7121.0
1995-07-06,283457.0,61.5,7121.0
1995-07-07,283457.0,61.5,7121.0
1995-07-08,283457.0,61.5,7121.0
1995-07-09,283457.0,61.5,7121.0
1995-07-10,283457.0,61.5,7121.0
1995-07-11,283457.0,61.5,7121.0
1995-07-12,283457.0,61.5,7121.0
1995-07-13,283457.0,61.5,7121.0
1995-07-14,283457.0,61.5,7121.0
1995-07-15,283457.0,61.5,7121.0
1995-07-16,283457.0,61.5,7121.0
1995-07-17,283457.0,61.5,7121.0
1995-07-18,283457.0,61.5,7121.0
1995-07-19,283457.0,61.5,7121.0
1995-07-20,283457.0,61.5,7121.0
1995-07-21,283457.0,61.5,7121.0
1995-07-22,283457.0,61.5,7121.0
1995-07-23,283457.0,61.5,7121.0
1995-07-24,283457.0,61.5,7121.0
1995-07-25,283457.0,61.5,7121.0
1995-07-26,283457.0,61.5,7121.0
1995-07-27,283457.0,61.5,7121.0
1995-07-28,283457.0,61.5,7121.0
1995-07-29,283457.0,61.5,7121.0
1995-07-30,283457.0,61.5,7121.0
