Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2018-08-26,1.1623,1.154,1.1641,1.1533
2018-08-27,1.1678,1.1631,1.1694,1.1592
2018-08-28,1.1695,1.1678,1.1735,1.1662
2018-08-29,1.1708,1.1695,1.1712,1.1652
2018-08-30,1.1671,1.1707,1.172,1.1641
2018-08-31,1.1601,1.1671,1.1692,1.1585
2018-09-01,1.1601,1.1671,1.1692,1.1585
2018-09-02,1.1601,1.1671,1.1692,1.1585
2018-09-03,1.1624,1.1596,1.1629,1.1583
2018-09-04,1.1582,1.1623,1.1629,1.1528
2018-09-05,1.1629,1.1581,1.164,1.1542
2018-09-06,1.1622,1.1629,1.166,1.1603
2018-09-07,1.1553,1.1624,1.1651,1.155
2018-09-08,1.1553,1.1624,1.1651,1.155
2018-09-09,1.1553,1.1624,1.1651,1.155
2018-09-10,1.1594,1.156,1.1617,1.1526
2018-09-11,1.1607,1.1594,1.1645,1.1565
2018-09-12,1.1626,1.1604,1.1651,1.157
2018-09-13,1.169,1.1627,1.1703,1.1608
2018-09-14,1.163,1.169,1.1724,1.1619
2018-09-15,1.163,1.169,1.1724,1.1619
2018-09-16,1.163,1.169,1.1724,1.1619
2018-09-17,1.1683,1.1623,1.1699,1.1617
2018-09-18,1.1667,1.1684,1.1726,1.1651
2018-09-19,1.1673,1.1667,1.1716,1.1648
2018-09-20,1.1777,1.1671,1.1786,1.1665
2018-09-21,1.175,1.1776,1.1804,1.1731
2018-09-22,1.175,1.1776,1.1804,1.1731
2018-09-23,1.175,1.1776,1.1804,1.1731
2018-09-24,1.1748,1.1751,1.1817,1.1723
2018-09-25,1.1772,1.1748,1.1793,1.173
2018-09-26,1.174,1.1767,1.1799,1.1726
2018-09-27,1.1641,1.174,1.1759,1.1637
2018-09-28,1.1609,1.1641,1.1652,1.1567
2018-09-29,1.1609,1.1641,1.1652,1.1567
2018-09-30,1.1609,1.1641,1.1652,1.1567
2018-10-01,1.1578,1.1609,1.163,1.1563
2018-10-02,1.1548,1.1578,1.1582,1.1506
2018-10-03,1.1478,1.1548,1.1595,1.1465
2018-10-04,1.1515,1.1478,1.1543,1.1464
2018-10-05,1.1524,1.1513,1.155,1.1483
2018-10-06,1.1524,1.1513,1.155,1.1483
2018-10-07,1.1524,1.1513,1.155,1.1483
2018-10-08,1.1492,1.152,1.1536,1.1459
2018-10-09,1.149,1.1491,1.1504,1.143
2018-10-10,1.152,1.1491,1.1547,1.1479
2018-10-11,1.1594,1.1519,1.16,1.1517
2018-10-12,1.1563,1.1592,1.1611,1.1534
2018-10-13,1.1563,1.1592,1.1611,1.1534
2018-10-14,1.1563,1.1592,1.1611,1.1534
2018-10-15,1.1579,1.1559,1.1608,1.1537
2018-10-16,1.1575,1.158,1.1623,1.1564
2018-10-17,1.1501,1.1575,1.1585,1.1495
2018-10-18,1.1453,1.15,1.1528,1.1448
2018-10-19,1.1515,1.1451,1.1536,1.1433
2018-10-20,1.1515,1.1451,1.1536,1.1433
2018-10-21,1.1515,1.1451,1.1536,1.1433
2018-10-22,1.1465,1.1507,1.1552,1.1455
2018-10-23,1.1471,1.1466,1.1495,1.1438
2018-10-24,1.1392,1.147,1.1477,1.1378
2018-10-25,1.1376,1.1392,1.1434,1.1355
2018-10-26,1.1403,1.1376,1.1422,1.1334
2018-10-27,1.1403,1.1376,1.1422,1.1334
2018-10-28,1.1403,1.1376,1.1422,1.1334
2018-10-29,1.1373,1.1408,1.1418,1.1361
2018-10-30,1.1344,1.1372,1.1387,1.1338
2018-10-31,1.1312,1.1345,1.1363,1.1301
2018-11-01,1.1409,1.1311,1.1426,1.1306
2018-11-02,1.1387,1.1408,1.1458,1.1372
2018-11-03,1.1387,1.1408,1.1458,1.1372
2018-11-04,1.1387,1.1408,1.1458,1.1372
2018-11-05,1.1407,1.1391,1.1425,1.1356
2018-11-06,1.1427,1.1406,1.144,1.1389
2018-11-07,1.1426,1.1427,1.1502,1.1395
2018-11-08,1.1363,1.1425,1.1448,1.1352
2018-11-09,1.1336,1.1364,1.1371,1.1315
2018-11-10,1.1336,1.1364,1.1371,1.1315
2018-11-11,1.1336,1.1364,1.1371,1.1315
2018-11-12,1.1218,1.1331,1.1333,1.1214
2018-11-13,1.1291,1.1219,1.1296,1.1216
2018-11-14,1.131,1.129,1.1349,1.1262
2018-11-15,1.1328,1.1309,1.1364,1.1271
2018-11-16,1.142,1.133,1.1423,1.132
2018-11-17,1.142,1.133,1.1423,1.132
2018-11-18,1.142,1.133,1.1423,1.132
2018-11-19,1.1453,1.1403,1.1467,1.1393
2018-11-20,1.1371,1.1453,1.1473,1.1357
2018-11-21,1.1385,1.1371,1.1426,1.1363
2018-11-22,1.1408,1.1382,1.1434,1.1378
2018-11-23,1.1341,1.1403,1.1422,1.1325
2018-11-24,1.1341,1.1403,1.1422,1.1325
2018-11-25,1.1341,1.1403,1.1422,1.1325
2018-11-26,1.1328,1.1343,1.1385,1.1323
2018-11-27,1.1288,1.1326,1.1344,1.1276
2018-11-28,1.1366,1.1291,1.1387,1.1264
2018-11-29,1.1393,1.1367,1.1403,1.1348
2018-11-30,1.1317,1.1395,1.1402,1.1304
2018-12-01,1.1317,1.1395,1.1402,1.1304
2018-12-02,1.1317,1.1395,1.1402,1.1304
2018-12-03,1.1354,1.1315,1.1382,1.1315
2018-12-04,1.1345,1.1354,1.1421,1.1318
2018-12-05,1.1344,1.1342,1.1361,1.1309
2018-12-06,1.1376,1.1345,1.1414,1.1321
2018-12-07,1.1378,1.1377,1.1425,1.1359
2018-12-08,1.1378,1.1377,1.1425,1.1359
2018-12-09,1.1378,1.1377,1.1425,1.1359
2018-12-10,1.1356,1.1401,1.1444,1.1349
2018-12-11,1.1316,1.1361,1.1402,1.1304
2018-12-12,1.1368,1.1317,1.1388,1.1312
2018-12-13,1.1363,1.1369,1.1396,1.133
2018-12-14,1.1309,1.1362,1.1374,1.1268
2018-12-15,1.1309,1.1362,1.1374,1.1268
2018-12-16,1.1309,1.1362,1.1374,1.1268
2018-12-17,1.1347,1.1308,1.136,1.1299
2018-12-18,1.1361,1.1346,1.1402,1.1336
2018-12-19,1.1377,1.1361,1.1442,1.136
2018-12-20,1.1446,1.1377,1.1487,1.1371
