Date,Euribor,IPC,Price_EURO,Open_EURO,High_EURO,Low_EURO,Defunciones,Debt,Percentage,Debt_per_capita,Activos,Ocupados,Parados,Actividad(%),Paro(%),GDP_Value, Open_DJ, High_DJ, Low_DJ, Close_DJ,Open_y,High_y,Low_y,Close,AdjClose,Volume
2003-06-12,2.0137,0.1,1.1767,1.1755,1.181,1.1703,7.69,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9184.29,9270.64,9089.69,9196.55,6801.0,6858.899902,6795.600098,6849.100098,6849.093262,149800
2003-06-13,2.0137,0.1,1.1863,1.1764,1.188,1.1736,7.69,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9197.88,9234.22,9042.63,9117.12,6855.700195,6936.399902,6813.799805,6857.200195,6857.193359,144600
2003-06-16,2.0137,0.1,1.1826,1.1877,1.1934,1.182,7.727,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9117.56,9335.49,9130.09,9318.96,6812.899902,6960.899902,6787.899902,6960.899902,6960.893066,129600
2003-06-17,2.0137,0.1,1.1785,1.1823,1.1869,1.1767,7.727,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9319.66,9406.49,9234.78,9323.02,7011.100098,7032.299805,6940.399902,6977.100098,6977.093262,171200
2003-06-18,2.0137,0.1,1.1694,1.1782,1.1804,1.1664,7.727,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9322.67,9363.15,9185.17,9293.8,6979.799805,7030.399902,6958.600098,7015.799805,7015.79248,139600
2003-06-19,2.0137,0.1,1.1721,1.1684,1.1742,1.1585,7.727,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9293.8,9346.34,9134.5,9179.53,7008.700195,7019.799805,6900.399902,6908.600098,6908.593262,153600
2003-06-20,2.0137,0.1,1.161,1.1721,1.1735,1.1552,7.727,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9180.93,9306.35,9149.21,9200.75,6902.0,7081.600098,6883.200195,7081.600098,7081.592773,210400
2003-06-23,2.0137,0.1,1.1561,1.1578,1.1608,1.1506,7.363,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9199.49,9215.32,9003.83,9072.95,6963.200195,7019.399902,6906.899902,6919.700195,6919.693359,117800
2003-06-24,2.0137,0.1,1.1511,1.1555,1.1585,1.1477,7.363,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9071.48,9179.25,9020.08,9109.85,6925.899902,6953.600098,6853.299805,6871.399902,6871.393066,127200
2003-06-25,2.0137,0.1,1.1533,1.1515,1.1626,1.1495,7.363,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9109.57,9195.2,8984.29,9011.53,6908.399902,6953.299805,6869.100098,6941.299805,6941.292969,154400
2003-06-26,2.0137,0.1,1.1423,1.1532,1.1543,1.1414,7.363,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9011.06,9118.82,8953.83,9079.04,6885.5,6972.700195,6877.299805,6944.600098,6944.593262,103200
2003-06-27,2.0137,0.1,1.1437,1.142,1.1472,1.14,7.363,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9079.74,9135.9,8941.58,8989.05,6986.600098,6999.700195,6918.600098,6970.100098,6970.093262,102200
2003-06-30,2.0137,0.1,1.1511,1.1429,1.1517,1.1397,6.65,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8990.74,9100.12,8934.71,8985.44,6953.0,6993.600098,6844.799805,6862.0,6861.993164,178400
2003-07-01,2.0761,-0.6,1.1563,1.1526,1.1613,1.1508,6.65,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,8983.66,9068.05,8843.61,9040.95,6877.5,6883.299805,6735.299805,6739.100098,6739.093262,165200
2003-07-02,2.0761,-0.6,1.1538,1.1563,1.1572,1.1505,6.65,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9043.54,9168.82,9025.12,9142.84,6826.5,6866.700195,6809.5,6830.899902,6830.893066,143000
2003-07-03,2.0761,-0.6,1.1497,1.1531,1.1542,1.1432,6.65,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9141.16,9164.48,9014.05,9070.21,6848.799805,6872.0,6735.700195,6795.299805,6795.292969,140400
2003-07-07,2.0761,-0.6,1.1317,1.1479,1.1483,1.1313,7.12,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9073.92,9289.9,9116.16,9216.79,6830.200195,6964.5,6830.200195,6944.600098,6944.593262,140000
2003-07-08,2.0761,-0.6,1.1321,1.1316,1.1355,1.1255,7.12,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9213.48,9281.77,9122.24,9223.09,6948.5,7006.299805,6919.899902,6965.700195,6965.693359,134200
2003-07-09,2.0761,-0.6,1.1349,1.1316,1.1369,1.1306,7.12,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9221.9,9270.22,9077.91,9156.21,6967.200195,6989.299805,6890.799805,6915.700195,6915.693359,125200
2003-07-10,2.0761,-0.6,1.1377,1.1355,1.1394,1.131,7.12,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9154.53,9141.3,8978.13,9036.04,6900.700195,6910.200195,6835.299805,6838.5,6838.493164,116000
2003-07-11,2.0761,-0.6,1.1288,1.1381,1.1387,1.1273,7.12,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9036.39,9176.59,9009.01,9119.59,6816.0,6968.600098,6813.899902,6968.600098,6968.593262,99600
2003-07-14,2.0761,-0.6,1.1281,1.129,1.1311,1.1243,6.855,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9126.45,9316.44,9133.59,9177.15,6993.100098,7062.799805,6953.399902,7046.0,7045.992676,109200
2003-07-15,2.0761,-0.6,1.1176,1.1281,1.134,1.1157,6.855,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9179.18,9258.17,9054.6,9128.97,7020.0,7051.600098,6971.700195,7000.0,6999.992676,135400
2003-07-16,2.0761,-0.6,1.122,1.1178,1.1235,1.1112,6.855,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9133.7,9185.62,9005.23,9094.59,7022.700195,7053.799805,6917.0,6932.799805,6932.792969,134000
2003-07-17,2.0761,-0.6,1.1208,1.1221,1.1252,1.1157,6.855,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9089.34,9160.27,8968.82,9050.82,6931.600098,6964.799805,6889.100098,6945.299805,6945.292969,116800
2003-07-18,2.0761,-0.6,1.127,1.1212,1.1309,1.1171,6.855,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9052.29,9212.31,9034.36,9188.15,6934.700195,6965.399902,6887.899902,6900.399902,6900.393066,128800
2003-07-21,2.0761,-0.6,1.1341,1.125,1.136,1.1245,7.188,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9187.8,9219.87,9025.12,9096.69,6943.5,6960.600098,6800.299805,6825.200195,6825.193359,93200
2003-07-22,2.0761,-0.6,1.1328,1.1345,1.1374,1.1307,7.188,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9098.65,9221.83,9004.25,9158.45,6842.100098,6882.5,6811.399902,6862.399902,6862.393066,93000
2003-07-23,2.0761,-0.6,1.1489,1.1329,1.1491,1.1316,7.188,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9159.08,9249.91,9064.69,9194.24,6894.899902,6902.600098,6833.100098,6868.0,6867.993164,137000
2003-07-24,2.0761,-0.6,1.1475,1.1484,1.1513,1.1423,7.188,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9196.56,9313.99,9092.98,9112.51,6893.0,6989.0,6870.799805,6981.100098,6981.093262,147200
2003-07-25,2.0761,-0.6,1.1512,1.1472,1.1553,1.1443,7.188,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9113.85,9296.62,9062.37,9284.57,6935.799805,6969.0,6874.600098,6903.799805,6903.792969,82600
2003-07-28,2.0761,-0.6,1.1488,1.1494,1.1521,1.1452,7.777,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9284.92,9356.77,9182.96,9266.51,6969.299805,7021.899902,6962.399902,6996.700195,6996.692871,92600
2003-07-29,2.0761,-0.6,1.1433,1.1488,1.1542,1.1431,7.777,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9268.19,9327.36,9135.62,9204.46,6970.299805,7034.5,6879.0,6924.0,6923.993164,105600
2003-07-30,2.0761,-0.6,1.1362,1.1442,1.1453,1.1337,7.777,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9204.39,9272.88,9131.7,9200.05,6925.100098,7010.100098,6917.399902,6984.299805,6984.292969,115600
2003-07-31,2.0761,-0.6,1.1231,1.1357,1.1365,1.1224,7.777,386588.0,49.86,9162 ,19893.5,17646.0,2247.5,56.15,11.3,0.66,9199.35,9398.02,9183.8,9233.8,7013.299805,7067.899902,6941.0,7061.700195,7061.692871,174000
