Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt_per_capita,Defunciones,Euribor,GDP_Value,High,High_DJ,High_EUR,IPC,Low,Low_DJ,Low_EUR,Ocupados,Open,Open_DJ,Open_EUR,Parados,Paro(%),Percentage,Price_EUR,Total_debt
2005-07-25,57.86,21205.6,10017.089844,1277.0,10017.099609,10596.48,8941.0,1061.0,2.168,0.9675,10048.0,10709.69,1.2089,-0.6,9979.5,10565.12,1.2027,19422.1,10036.700195,10651.66,1.2054,1783.5,8.41,42.4,1.206,393479.0
2005-07-26,57.86,21205.6,10043.290039,1277.0,10043.299805,10579.77,8941.0,1061.0,2.168,0.9675,10052.200195,10667.9,1.2071,-0.6,9989.099609,10535.58,1.198,19422.1,10014.299805,10597.6,1.2067,1783.5,8.41,42.4,1.2012,393479.0
2005-07-27,57.86,21205.6,10088.69043,1277.0,10088.700195,10637.09,8941.0,1061.0,2.168,0.9675,10099.0,10689.31,1.2089,-0.6,10046.700195,10530.5,1.1961,19422.1,10046.700195,10579.45,1.2019,1783.5,8.41,42.4,1.2071,393479.0
2005-07-28,57.86,21205.6,10128.789063,1277.0,10128.799805,10705.55,8941.0,1061.0,2.168,0.9675,10140.0,10745.68,1.215,-0.6,10110.099609,10603.49,1.2033,19422.1,10114.099609,10633.5,1.2065,1783.5,8.41,42.4,1.2132,393479.0
2005-07-29,57.86,21205.6,10115.589844,1277.0,10115.599609,10640.91,8941.0,1061.0,2.168,0.9675,10162.400391,10754.6,1.2159,-0.6,10083.0,10608.27,1.2073,19422.1,10156.700195,10705.16,1.2127,1783.5,8.41,42.4,1.213,393479.0
2005-07-30,57.86,21205.6,10115.589844,1277.0,10115.599609,10640.91,8941.0,1061.0,2.168,0.9675,10162.400391,10754.6,1.2159,-0.6,10083.0,10608.27,1.2073,19422.1,10156.700195,10705.16,1.2127,1783.5,8.41,42.4,1.213,393479.0
2005-07-31,57.86,21205.6,10115.589844,1277.0,10115.599609,10640.91,8941.0,1061.0,2.168,0.9675,10162.400391,10754.6,1.2159,-0.6,10083.0,10608.27,1.2073,19422.1,10156.700195,10705.16,1.2127,1783.5,8.41,42.4,1.213,393479.0
2005-08-01,57.86,21205.6,10068.890625,1277.0,10068.900391,10623.15,8941.0,1061.0,2.2229,0.9675,10125.700195,10713.51,1.2252,0.4,10058.599609,10578.97,1.2117,19422.1,10122.599609,10641.78,1.2125,1783.5,8.41,42.4,1.2176,393479.0
2005-08-02,57.86,21205.6,10113.890625,1277.0,10113.900391,10683.74,8941.0,1061.0,2.2229,0.9675,10113.900391,10729.6,1.2255,0.4,10043.700195,10600.62,1.2171,19422.1,10048.099609,10623.79,1.2176,1783.5,8.41,42.4,1.2199,393479.0
2005-08-03,57.86,21205.6,10149.689453,1277.0,10149.700195,10697.59,8941.0,1061.0,2.2229,0.9675,10151.099609,10735.17,1.2345,0.4,10074.900391,10600.02,1.2148,19422.1,10099.900391,10681.51,1.2192,1783.5,8.41,42.4,1.2341,393479.0
2005-08-04,57.86,21205.6,10074.290039,1277.0,10074.299805,10610.1,8941.0,1061.0,2.2229,0.9675,10147.700195,10709.77,1.2404,0.4,10067.299805,10568.7,1.2298,19422.1,10144.0,10696.8,1.2333,1783.5,8.41,42.4,1.2387,393479.0
2005-08-05,57.86,21205.6,10045.390625,1277.0,10045.400391,10558.03,8941.0,1061.0,2.2229,0.9675,10082.5,10643.46,1.2399,0.4,10029.0,10512.49,1.2313,19422.1,10042.799805,10610.34,1.239,1783.5,8.41,42.4,1.2363,393479.0
2005-08-06,57.86,21205.6,10045.390625,1277.0,10045.400391,10558.03,8941.0,1061.0,2.2229,0.9675,10082.5,10643.46,1.2399,0.4,10029.0,10512.49,1.2313,19422.1,10042.799805,10610.34,1.239,1783.5,8.41,42.4,1.2363,393479.0
2005-08-07,57.86,21205.6,10045.390625,1277.0,10045.400391,10558.03,8941.0,1061.0,2.2229,0.9675,10082.5,10643.46,1.2399,0.4,10029.0,10512.49,1.2313,19422.1,10042.799805,10610.34,1.239,1783.5,8.41,42.4,1.2363,393479.0
2005-08-08,57.86,21205.6,10115.490234,1277.0,10115.5,10536.93,8941.0,1061.0,2.2229,0.9675,10128.700195,10635.65,1.2394,0.4,10045.200195,10497.45,1.2318,19422.1,10052.099609,10557.24,1.2343,1783.5,8.41,42.4,1.235,393479.0
2005-08-09,57.86,21205.6,10145.588867,1277.0,10145.599609,10615.67,8941.0,1061.0,2.2229,0.9675,10145.599609,10662.8,1.2418,0.4,10062.599609,10537.01,1.2329,19422.1,10074.400391,10537.65,1.2348,1783.5,8.41,42.4,1.2371,393479.0
2005-08-10,57.86,21205.6,10229.189453,1277.0,10229.200195,10594.41,8941.0,1061.0,2.2229,0.9675,10229.200195,10746.87,1.2427,0.4,10146.700195,10553.81,1.2334,19422.1,10150.200195,10606.52,1.2377,1783.5,8.41,42.4,1.2385,393479.0
2005-08-11,57.86,21205.6,10222.088867,1277.0,10222.099609,10685.89,8941.0,1061.0,2.2229,0.9675,10226.5,10721.56,1.2479,0.4,10156.0,10549.43,1.2379,19422.1,10189.200195,10591.83,1.2387,1783.5,8.41,42.4,1.2472,393479.0
2005-08-12,57.86,21205.6,10187.189453,1277.0,10187.200195,10600.31,8941.0,1061.0,2.2229,0.9675,10253.700195,10688.68,1.2487,0.4,10169.799805,10549.19,1.2383,19422.1,10253.400391,10682.7,1.247,1783.5,8.41,42.4,1.2437,393479.0
2005-08-13,57.86,21205.6,10187.189453,1277.0,10187.200195,10600.31,8941.0,1061.0,2.2229,0.9675,10253.700195,10688.68,1.2487,0.4,10169.799805,10549.19,1.2383,19422.1,10253.400391,10682.7,1.247,1783.5,8.41,42.4,1.2437,393479.0
2005-08-14,57.86,21205.6,10187.189453,1277.0,10187.200195,10600.31,8941.0,1061.0,2.2229,0.9675,10253.700195,10688.68,1.2487,0.4,10169.799805,10549.19,1.2383,19422.1,10253.400391,10682.7,1.247,1783.5,8.41,42.4,1.2437,393479.0
2005-08-15,57.86,21205.6,10184.889648,1277.0,10184.900391,10634.38,8941.0,1061.0,2.2229,0.9675,10206.200195,10687.72,1.2458,0.4,10162.5,10532.48,1.2344,19422.1,10163.799805,10599.19,1.2458,1783.5,8.41,42.4,1.237,393479.0
2005-08-16,57.86,21205.6,10139.789063,1277.0,10139.799805,10513.45,8941.0,1061.0,2.2229,0.9675,10223.799805,10650.14,1.2374,0.4,10105.700195,10489.24,1.2294,19422.1,10211.799805,10631.59,1.2369,1783.5,8.41,42.4,1.2363,393479.0
2005-08-17,57.86,21205.6,10094.089844,1277.0,10094.099609,10550.71,8941.0,1061.0,2.2229,0.9675,10124.0,10625.86,1.237,0.4,10043.200195,10472.45,1.2259,19422.1,10110.400391,10505.6,1.2351,1783.5,8.41,42.4,1.2274,393479.0
2005-08-18,57.86,21205.6,10037.890625,1277.0,10037.900391,10554.93,8941.0,1061.0,2.2229,0.9675,10107.5,10623.95,1.2296,0.4,10029.400391,10466.32,1.2157,19422.1,10093.5,10549.75,1.2277,1783.5,8.41,42.4,1.2176,393479.0
2005-08-19,57.86,21205.6,10132.889648,1277.0,10132.900391,10559.23,8941.0,1061.0,2.2229,0.9675,10136.5,10656.59,1.2197,0.4,10055.5,10503.9,1.2127,19422.1,10062.700195,10552.7,1.2182,1783.5,8.41,42.4,1.2154,393479.0
2005-08-20,57.86,21205.6,10132.889648,1277.0,10132.900391,10559.23,8941.0,1061.0,2.2229,0.9675,10136.5,10656.59,1.2197,0.4,10055.5,10503.9,1.2127,19422.1,10062.700195,10552.7,1.2182,1783.5,8.41,42.4,1.2154,393479.0
2005-08-21,57.86,21205.6,10132.889648,1277.0,10132.900391,10559.23,8941.0,1061.0,2.2229,0.9675,10136.5,10656.59,1.2197,0.4,10055.5,10503.9,1.2127,19422.1,10062.700195,10552.7,1.2182,1783.5,8.41,42.4,1.2154,393479.0
