Date,IPC,Open,High,Low,Close,AdjClose,GDP_Value,Euribor,Price_EUR,Open_EUR,High_EUR,Low_EUR,Open_DJ,High_DJ,Low_DJ,Close_DJ,Total_debt,Percentage,Debt_per_capita,Defunciones,Births,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2021-07-12,-0.75,8791.900391,8822.0,8696.799805,8816.700195,8816.700195,2.3187,-0.4907,1.1859,1.1872,1.1881,1.1836,34836.75,35014.9,34730.15,34996.18,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-13,-0.75,8824.299805,8832.200195,8676.700195,8694.799805,8694.799805,2.3187,-0.4907,1.1774,1.1862,1.1876,1.1772,34959.96,35018.79,34876.89,34888.79,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-14,-0.75,8674.700195,8712.0,8625.599609,8658.299805,8658.299805,2.3187,-0.4907,1.1835,1.1776,1.1839,1.1772,34920.83,35069.18,34826.87,34933.23,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-15,-0.75,8626.400391,8626.400391,8507.400391,8527.0,8527.0,2.3187,-0.4907,1.1812,1.1837,1.1852,1.1796,34924.81,34990.41,34762.87,34987.02,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-16,-0.75,8546.599609,8607.400391,8423.099609,8506.200195,8506.200195,2.3187,-0.4907,1.1805,1.1814,1.1823,1.1791,35007.94,35090.01,34647.82,34687.85,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-17,-0.75,8546.599609,8607.400391,8423.099609,8506.200195,8506.200195,2.3187,-0.4907,1.1805,1.1814,1.1823,1.1791,35007.94,35090.01,34647.82,34687.85,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-18,-0.75,8546.599609,8607.400391,8423.099609,8506.200195,8506.200195,2.3187,-0.4907,1.1805,1.1814,1.1823,1.1791,35007.94,35090.01,34647.82,34687.85,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-19,-0.75,8450.900391,8455.200195,8252.200195,8301.700195,8301.700195,2.3187,-0.4907,1.1798,1.1808,1.1825,1.1763,34528.48,34528.48,33741.76,33962.04,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-20,-0.75,8337.799805,8384.799805,8265.599609,8358.0,8358.0,2.3187,-0.4907,1.1779,1.1801,1.1805,1.1755,33981.79,34621.79,33981.79,34511.99,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-21,-0.75,8390.900391,8585.400391,8384.299805,8567.0,8567.0,2.3187,-0.4907,1.1792,1.1782,1.1805,1.1752,34556.96,34820.24,34556.96,34798.0,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-22,-0.75,8604.099609,8683.700195,8601.5,8621.799805,8621.799805,2.3187,-0.4907,1.177,1.1793,1.1831,1.1757,34799.68,34879.28,34673.03,34823.35,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-23,-0.75,8657.400391,8757.5,8652.099609,8717.200195,8717.200195,2.3187,-0.4907,1.1771,1.1769,1.1788,1.1753,34855.11,35095.33,34855.11,35061.55,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-24,-0.75,8657.400391,8757.5,8652.099609,8717.200195,8717.200195,2.3187,-0.4907,1.1771,1.1769,1.1788,1.1753,34855.11,35095.33,34855.11,35061.55,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-25,-0.75,8657.400391,8757.5,8652.099609,8717.200195,8717.200195,2.3187,-0.4907,1.1771,1.1769,1.1788,1.1753,34855.11,35095.33,34855.11,35061.55,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
